,frame,ivector,xvector,mfa_train
onset_err_mean,17.110311745500717,16.396223800076577,15.409364888192632,27.017621661561645
onset_err_std,,,,
onset_err_lt20,0.7365630272354784,0.742808934597461,0.7875702780732412,0.5739453693227735
onset_err_lt50,0.913473126054471,0.9165193636509722,0.9559337486704148,0.871666397284629
onset_err_lt100,0.9498674379368522,0.9521131287160534,0.987919769032062,0.9312267657992565
offset_err_mean,25.566041632973484,24.78625371360353,23.857839625275925,51.144463602251726
offset_err_std,,,,
offset_err_lt20,0.5958062183658713,0.5885425036156194,0.6351618295091931,0.30030709552287055
offset_err_lt50,0.8445408532176428,0.8479832878033103,0.8849718887707035,0.6580733796670438
offset_err_lt100,0.9269703543022415,0.9305801060581713,0.9652028567087069,0.8496848230160013
onset_err_pct_mean,13.469423874341349,12.398118706292529,11.998213687623137,18.001894320110733
onset_err_pct_std,,,,
onset_err_pct_lt20,0.8248573953563108,0.8308693556162623,0.8617231423795776,0.7631323743332794
onset_err_pct_lt50,0.9269703543022415,0.9292945524666559,0.9639872359823735,0.9103765960885728
onset_err_pct_lt100,0.9497870972925203,0.9513900048208259,0.9871600060781036,0.9480362049458542
offset_err_pct_mean,18.33586906888281,17.269554554353473,17.096155449081458,29.998001709456844
offset_err_pct_std,,,,
offset_err_pct_lt20,0.7256366996063308,0.7273822914992769,0.7585473332320316,0.46864393082269273
offset_err_pct_lt50,0.8982084036313971,0.9038245219347582,0.9333687889378514,0.8392597381606595
offset_err_pct_lt100,0.9427171205913072,0.9460870962558252,0.9815377602188118,0.9415710360433166
