,Acc,NumCorrect,NumPredicted,AccMatched,NumCorrectMatched,NumPredictedMatched
0.5,0.919763806877388,2648.0,2879.0,0.9325688073394496,2033.0,2180.0
0.1,0.8204680405169402,2349.0,2863.0,0.8436154949784792,1764.0,2091.0
0.45,0.910546467107553,2616.0,2873.0,0.9225806451612903,2002.0,2170.0
0.3,0.7880586592178771,2257.0,2864.0,0.8278080158337456,1673.0,2021.0
0.15,0.8599167822468793,2480.0,2884.0,0.8790248390064398,1911.0,2174.0
0.4,0.9055749128919861,2599.0,2870.0,0.9139042357274402,1985.0,2172.0
0.2,0.8607068607068608,2484.0,2886.0,0.8909975669099757,1831.0,2055.0
1.0,0.9346768589298123,2690.0,2878.0,0.9453526389537599,2024.0,2141.0
0.05,0.30020847810979845,432.0,1439.0,0.3804347826086957,245.0,644.0
0.029,0.35330205701912665,979.0,2771.0,0.42873763816172195,737.0,1719.0
0.015,0.15461703650680028,216.0,1397.0,0.17403314917127072,189.0,1086.0
0.35,0.15714285714285714,11.0,70.0,0.14925373134328357,10.0,67.0
0.25,0.8392047436344611,2406.0,2867.0,0.8575485092285849,1812.0,2113.0
0.075,0.6170212765957447,1769.0,2867.0,0.6605504587155964,1296.0,1962.0
